word,phonetic_spelling,phonemes
Stare,stair,S T EH  R
Start,start,S T AA  R T
State,stayt,S T EY  T
Statement,STAYT-muhnt,S T EY  T M AH  N T
Station,STAY-shun,S T EY  SH AH  N
Statistic,stuh-TIS-tik,S T AH  T IH  S T IH  K
Statue,STACH-oo,S T AE  CH UW
Status,STAY-tus,S T AE  T AH  S
Stay,stay,S T EY
Steady,STEH-dee,S T EH  D IY
Steal,steel,S T IY  L
Steel,steel,S T IY  L
Steep,steep,S T IY  P
Step,step,S T EH  P
Sticky,STIK-ee,S T IH  K IY
Stiff,stif,S T IH  F
Still,stil,S T IH  L
Stock,stawk,S T AA  K
Stomach,STUM-uhk,S T AH  M AH  K
Stone,stohn,S T OW  N
Stop,stawp,S T AA  P
Store,stawr,S T AO  R
Storm,stawrm,S T AO  R M
Story,STOR-ee,S T AO  R IY
Stove,stohv,S T OW  V
Straight,strayt,S T R EY  T
Strange,straynj,S T R EY  N JH
Stranger,STRAYN-jer,S T R EY  N JH ER
Strategy,STRAT-uh-jee,S T R AE  T AH  JH IY
Stream,streem,S T R IY  M
Street,street,S T R IY  T
Strength,strehngkth,S T R EH  NG K TH
Stress,stres,S T R EH  S
Stretch,strech,S T R EH  CH
Strict,strikt,S T R IH  K T
Strike,stryk,S T R AY  K
String,string,S T R IH  NG
Strong,strawng,S T R AO  NG
Strongly,STRONG-lee,S T R AO  NG L IY
Structure,STRUK-chur,S T R AH  K CH ER
Struggle,STRUG-uhl,S T R AH  G AH  L
Student,STYOO-dent,S T UW  D AH  N T
Studio,STYOO-dee-oh,S T UW  D IY  OW
Study,STUHD-ee,S T AH  D IY
Stuff,stuhf,S T AH  F
Stupid,STYOO-pid,S T UW  P AH  D
Style,stahyl,S T AY  L
Subject,SUHB-jikt,S AH  B JH EH  K T
Submit,suhb-MIT,S AH  B M IH  T
Substance,SUB-stuhns,S AH  B S T AH  N S
Subway,SUHB-way,S AH  B W EY
Succeed,suk-SEED,S AH  K S IY  D
Success,suk-SES,S AH  K S EH  S
Successful,suk-SES-ful,S AH  K S EH  S F AH  L
Successfully,suk-SES-fuh-lee,S AH  K S EH  S F AH  L IY
Such,suhc,S AH  CH
Sudden,SUHD-uhn,S AH  D AH  N
Suddenly,SUHD-uhn-lee,S AH  D AH  N L IY
Suffer,SUH-fur,S AH  F ER
Sugar,SHOO-gur,SH UH  G ER
Suggest,suhg-JEST,S AH  G JH EH  S T
Suggestion,suhg-JES-chun,S AH  G JH EH  S CH AH  N
Suit,soot,S UW  T
Suitable,SOO-tuh-buhl,S UW  T AH  B AH  L
Sum,suhm,S AH  M
Summarize,SUHM-uh-ryz,S AH  M ER  AY  Z
Summary,SUHM-uh-ree,S AH  M ER  IY
Summer,SUH-mer,S AH  M ER
Sun,suhn,S AH  N
Sunday,SUHN-dey,S AH  N D EY
Supermarket,SOO-per-MAHR-kit,S UW  P ER  M AA  R K IH  T
Supply,suh-PLY,S AH  P L AY
Support,suh-PORT,S AH  P AO  R T
Supporter,suh-PORT-er,S AH  P AO  R T ER
Suppose,suh-POHZ,S AH  P OW  Z
Sure,shoor,SH UH  R
Surely,SHUR-lee,SH UH  R L IY
Surface,SUR-fis,S ER  F AH  S
Surgery,SUR-juh-ree,S ER  JH ER  IY
Surprise,ser-PRYZ,S ER  P R AY  Z
Surprised,ser-PRYZD,S ER  P R AY  Z D
Surprising,ser-PRY-zing,S ER  P R AY  Z IH  NG
Surround,suh-ROUND,S ER  AW  N D
Surrounding,suh-ROUND-ing,S ER  AW  N D IH  NG
Survey,SUR-vay,S ER  V EY
Survive,ser-VYV,S ER  V AY  V
Suspect,SUHS-pekt,S AH  S P EH  K T
Swear,swair,S W EH  R
Sweater,SWET-er,S W EH  T ER
Sweep,sweep,S W IY  P
Sweet,sweet,S W IY  T
Swim,swim,S W IH  M
Swimming,SWIM-ing,S W IH  M IH  NG
Switch,swich,S W IH  CH
Symbol,SIM-buhl,S IH  M B AH  L
Sympathy,SIM-puh-thee,S IH  M P AH  TH IY
Symptom,SIM-tuhm,S IH  M P T AH  M
System,SIS-tuhm,S IH  S T AH  M
Table,TAY-buhl,T EY  B AH  L
Tablet,TAB-luht,T AE  B L AH  T
Tail,tayl,T EY  L
Take,tayk,T EY  K
Tale,tayl,T EY  L
Talent,TAL-uhnt,T AE  L AH  N T
Talented,TAL-uhnd-id,T AE  L AH  N T AH  D
Talk,tawk,T AO  K
Tall,tahl,T AO  L
Tank,tank,T AE  NG K
Tape,tayp,T EY  P
Target,TAR-git,T AA  R G AH  T
Task,task,T AE  S K
Taste,tayst,T EY  S T
Tax,taks,T AE  K S
Taxi,TAK-see,T AE  K S IY
Tea,tee,T IY
Teach,tee-ch,T IY  CH
Teacher,TEE-chur,T IY  CH ER
Teaching,TEE-ching,T IY  CH IH  NG
Team,teem,T IY  M
Technical,TEK-ni-kul,T EH  K N IH  K AH  L
Technique,tek-NEEK,T EH  K N IY  K
Technology,tek-NOL-uh-jee,T EH  K N AA  L AH  JH IY
Teenage,TEE-nayj,T IY  N EY  JH
Teenager,TEE-nay-jer,T IY  N EY  JH ER
Telephone,TEL-uh-fon,T EH  L AH  F OW  N
Television,TEL-uh-vizh-uhn,T EH  L AH  V IH  ZH AH  N
Tell,tel,T EH  L
Temperature,TEM-per-uh-chur,T EH  M P R AH  CH ER
Temporary,TEM-puh-rer-ee,T EH  M P ER  EH  R IY
Ten,ten,T EH  N
Tend,tend,T EH  N D
Tennis,TEN-iss,T EH  N AH  S
Tent,tent,T EH  N T
Term,term,T ER  M
Terrible,TER-uh-buhl,T EH  R AH  B AH  L
Test,test,T EH  S T
Text,tekst,T EH  K S T
Than,thn,DH AE  N
Thank,thangk,TH AE  NG K
Thanks,thangk-s,TH AE  NG K S
That,that,DH AE  T
The,thuh,DH AH
Their,ther,DH EH  R
Theirs,thairs,DH EH  R Z
Them,them,DH EH  M
Theme,theem,TH IY  M
Themselves,them-SELVS,DH EH  M S EH  L V Z
Then,then,DH EH  N
Theory,THEE-uh-ree,TH IH  R IY
Therapy,THER-uh-pee,TH EH  R AH  P IY
There,thair,DH EH  R
Therefore,THAIR-fawr,DH EH  R F AO  R
They,thay,DH EY
Thick,thik,TH IH  K
Thief,thee-ef,TH IY  F
Thin,thin,TH IH  N
Thing,thing,TH IH  NG
Think,think,TH IH  NG K
Thinking,THING-king,TH IH  NG K IH  NG
Third,thurd,TH ER  D
Thirsty,THUR-stee,TH ER  S T IY
Thirteen,thur-TEEN,TH ER  T IY  N
Thirty,THUR-tee,TH ER  D IY
This,this,DH IH  S
Though,thoh,DH OW
Thought,thawt,TH AO  T
Thousand,THOU-zuhnd,TH AW  Z AH  N D
Threat,thret,TH R EH  T
Threaten,THRET-n,TH R EH  T AH  N
Three,three,TH R IY
Throat,throht,TH R OW  T
Through,throo,TH R UW
Throughout,thru-OWT,TH R UW  AW  T
Throw,throh,TH R OW
Thursday,THURZ-day,TH ER  Z D EY
Thus,thuhs,DH AH  S
Ticket,TIK-it,T IH  K AH  T
Tie,ty,T AY
Tight,tyt,T AY  T
Till,til,T IH  L
Time,tym,T AY  M
Tiny,TYE-nee,T AY  N IY
Tip,tip,T IH  P
Tire,ty-er,T AY  ER
Tired,TY-erd,T AY  ER  D
Title,TY-tl,T AY  T AH  L
To,too,T UW
Today,tuh-DAY,T AH  D EY
Toe,toh,T OW
Together,tuh-GEH-thur,T AH  G EH  DH ER
Toilet,TOY-let,T OY  L AH  T
Tomato,tuh-MAY-toh,T AH  M EY  T OW
Tomorrow,tuh-MAWR-oh,T AH  M AA  R OW
Ton,tun,T AH  N
Tone,tohn,T OW  N
Tongue,tung,T AH  NG
Tonight,tuh-NYT,T AH  N AY  T
Too,too,T UW
Tool,tool,T UW  L
Tooth,tooth,T UW  TH
Top,top,T AA  P
Topic,TOP-ik,T AA  P IH  K
Total,TOH-tuhl,T OW  T AH  L
Totally,TOH-tuh-lee,T OW  T AH  L IY
Touch,tuch,T AH  CH
Tough,tuff,T AH  F
Tour,toor,T UH  R
Tourism,TOOR-iz-uhm,T UH  R IH  Z AH  M
Tourist,TOOR-ist,T UH  R AH  S T
Toward,tuh-WAHRD,T AH  W AO  R D
Towel,TOW-uhl,T AW  AH  L
Tower,TOW-er,T AW  ER
Town,town,T AW  N
Toy,toy,T OY
Track,trak,T R AE  K
Trade,trayd,T R EY  D
Tradition,truh-DISH-uhn,T R AH  D IH  SH AH  N
Traditional,truh-DISH-uh-nuhl,T R AH  D IH  SH AH  N AH  L
Traffic,TRAF-ik,T R AE  F IH  K
Train,trayn,T R EY  N
Trainer,TRAY-nur,T R EY  N ER
Training,TRAY-ning,T R EY  N IH  NG
Transfer,TRANS-fur,T R AE  N S F ER
Transform,trans-FORM,T R AE  N S F AO  R M
Transition,tran-ZISH-uhn,T R AE  N Z IH  SH AH  N
Translate,trans-LAYT,T R AE  N Z L EY  T
Translation,trans-LAY-shun,T R AE  N Z L EY  SH AH  N
Transport,TRANS-port,T R AE  N S P AO  R T
Transportation,trans-por-TAY-shun,T R AE  N S P ER  T EY  SH AH  N
Trash,trash,T R AE  SH
Travel,TRAV-uhl,T R AE  V AH  L
Traveler,TRAV-uh-lur,T R AE  V AH  L ER
Treat,treet,T R IY  T
Treatment,TREET-muhnt,T R IY  T M AH  N T
Tree,tree,T R IY
Trend,trend,T R EH  N D
Trial,TRY-uhl,T R AY  AH  L
Trick,trik,T R IH  K
Trip,trip,T R IH  P
Tropical,TROP-ik-uhl,T R AA  P IH  K AH  L
Trouble,TRUH-buhl,T R AH  B AH  L
Truck,truhk,T R AH  K
True,troo,T R UW
Truly,TROO-lee,T R UW  L IY
Trust,truhst,T R AH  S T
Truth,trooth,T R UW  TH
Try,try,T R AY
Tube,toob,T UW  B
Tuesday,TYOOS-day,T UW  Z D IY
Tune,toon,T UW  N
Tunnel,TUN-uhl,T AH  N AH  L
Turn,turn,T ER  N
TV,tee-vee,T IY  V IY
Twelve,twelv,T W EH  L V
Twenty,TWEN-tee,T W EH  N T IY
Twice,twys,T W AY  S
Twin,twin,T W IH  N
Two,too,T UW
Type,type,T AY  P
Typical,TIP-ik-uhl,T IH  P AH  K AH  L
Typically,TIP-ik-lee,T IH  P IH  K L IY
Ugly,UHG-lee,AH  G L IY
Ultimately,UHL-tuh-muht-lee,AH  L T AH  M AH  T L IY
Umbrella,UHM-brel-uh,AH  M B R EH  L AH
Unable,UHN-AY-buhl,AH  N EY  B AH  L
Uncle,UHNG-kuhl,AH  NG K AH  L
Uncomfortable,UHN-kuhmf-tuh-buhl,AH  N K AH  M F ER  T AH  B AH  L
Unconscious,UHN-KON-shuhs,AH  N K AA  N SH AH  S
Under,UHN-der,AH  N D ER
Underground,UHN-der-GROUND,AH  N D ER  G R AW  N D
Understand,UHN-der-stand,AH  N D ER  S T AE  N D
Understanding,UHN-der-STAN-ding,AH  N D ER  S T AE  N D IH  NG
Underwear,UHN-der-wair,AH  N D ER  W EH  R
Unemployed,UHN-em-PLOYD,AH  N EH  M P L OY  D
Unemployment,UHN-em-PLOY-muhnt,AH  N IH  M P L OY  M AH  N T
Unexpected,UHN-ik-SPEK-tid,AH  N IH  K S P EH  K T IH  D
Unfair,UHN-fair,AH  N F EH  R
Unfortunately,UHN-FOR-chuh-nuht-lee,AH  N F AO  R CH AH  N AH  T L IY
Unhappy,UHN-HAP-ee,AH  N HH AE  P IY
Uniform,YOO-nuh-form,Y UW  N AH  F AO  R M
Union,YOO-nyuhn,Y UW  N Y AH  N
Unique,YOO-neek,Y UW  N IY  K
Unit,YOO-nit,Y UW  N AH  T
United,yoo-NY-tid,Y UW  N AY  T AH  D
Universe,YOO-nuh-vers,Y UW  N AH  V ER  S
University,YOO-nuh-VUR-suh-tee,Y UW  N AH  V ER  S AH  T IY
Unknown,UHN-nohn,AH  N N OW  N
Unless,UHN-les,AH  N L EH  S
Unlike,UHN-lyk,AH  N L AY  K
Unlikely,UHN-lyk-lee,AH  N L AY  K L IY
Unnecessary,UHN-NES-uh-ser-ee,AH  N N EH  S AH  S EH  R IY
Unpleasant,UHN-PLEZ-uhnt,AH  N P L EH  Z AH  N T
Until,UHN-TIL,AH  N T IH  L
Unusual,UHN-YOO-zhuh-wuhl,AH  N Y UW  ZH AH  W AH  L
Up,up,AH  P
Update,UHP-dayt,AH  P D EY  T
Upon,uh-PON,AH  P AA  N
Upper,UHP-ur,AH  P ER
Upset,UHP-set,AH  P S EH  T
Upstairs,UHP-stairs,AH  P S T EH  R Z
Upward,UHP-wurd,AH  P W ER  D
Urban,UR-buhn,ER  B AH  N
Urge,urj,ER  JH
Us,uhss,Y UW  Z
Use,yoos,Y UW  S
Used,yoozd,Y UW  Z D
Useful,YOO-sfuhl,Y UW  S F AH  L
User,YOO-zer,Y UW  Z ER
Usual,YOO-zhoo-uhl,Y UW  ZH AH  W AH  L
Usually,YOO-zhoo-uh-lee,Y UW  ZH AH  W AH  L IY
Vacation,vay-KAY-shun,V EY  K EY  SH AH  N
Valley,VAL-ee,V AE  L IY
Valuable,VAL-yoo-uh-buhl,V AE  L Y AH  B AH  L
Value,VAL-yoo,V AE  L Y UW
Van,van,V AE  N
Variety,vuh-RY-uh-tee,V ER  AY  AH  T IY
Various,VAYR-ee-uhs,V EH  R IY  AH  S
Vary,VAIR-ee,V EH  R IY
Vegetable,VEJ-tuh-buhl,V EH  JH T AH  B AH  L
Venue,VEN-yoo,V EH  N Y UW
Very,VER-ee,V EH  R IY
Via,VY-uh,V AY  AH
Victim,VIK-tim,V IH  K T AH  M
Victory,VIK-tuh-ree,V IH  K T ER  IY
Video,VID-ee-oh,V IH  D IY  OW
View,vyoo,V Y UW
Viewer,VYOO-ur,V Y UW  ER
Village,VIL-ij,V IH  L AH  JH
Violence,VY-uh-luhns,V AY  AH  L AH  N S
Violent,VY-uh-luhnt,V AY  AH  L AH  N T
Virtual,VUR-chuh-wuhl,V ER  CH UW  AH  L
Virus,VY-ruhs,V AY  R AH  S
Vision,VIZH-uhn,V IH  ZH AH  N
Visit,VIZ-it,V IH  Z AH  T
Visitor,VIZ-it-ur,V IH  Z AH  T ER
Visual,VIZH-oo-uhl,V IH  ZH AH  W AH  L
Vital,VY-tl,V AY  T AH  L
Vitamin,VY-tuh-muhn,V AY  T AH  M AH  N
Voice,voys,V OY  S
Volume,VOL-yoom,V AA  L Y UW  M
Volunteer,vol-uhn-TEER,V AA  L AH  N T IH  R
Vote,voht,V OW  T
Wage,wayj,W EY  JH
Wait,wayt,W EY  T
Waiter,WAY-tur,W EY  T ER
Wake,wayk,W EY  K
Walk,wawk,W AO  K
Wall,wawl,W AO  L
Want,want,W AA  N T
War,wawr,W AO  R
Warm,wawm,W AO  R M
Warn,wawrn,W AO  R N
Warning,WAWN-ing,W AO  R N IH  NG
Wash,wosh,W AA  SH
Washing,WOSH-ing,W AA  SH IH  NG
Waste,wayst,W EY  S T
Watch,wotch,W AA  CH
Water,WAW-ter,W AO  T ER
Wave,wayv,W EY  V
Way,way,W EY
We,wee,W IY
Weak,week,W IY  K
Weakness,WEEK-ness,W IY  K N AH  S
Wealth,wealth,W EH  L TH
Wealthy,WEALTH-ee,W EH  L TH IY
Weapon,WEP-uhn,W EH  P AH  N
Wear,wair,W EH  R
Weather,WETH-er,W EH  DH ER
Web,web,W EH  B
Website,WEB-syt,W EH  B S AY  T
Wedding,WED-ing,W EH  D IH  NG
Wednesday,WENZ-day,W EH  N Z D IY
Week,week,W IY  K
Weekend,WEEK-end,W IY  K EH  N D
Weigh,way,W EY
Weight,wayt,W EY  T
Welcome,WEL-kum,W EH  L K AH  M
Well,wel,W EH  L
West,west,W EH  S T
Western,WES-tur-n,W EH  S T ER  N
Wet,wet,W EH  T
What,wut,W AH  T
Whatever,wha-TEH-vur,W AH  T EH  V ER
Wheel,hweel,W IY  L
When,wen,W EH  N
Whenever,wha-NEH-vur,W EH  N EH  V ER
Where,wair,W EH  R
Whereas,whair-AZ,W EH  R AE  Z
Wherever,whair-EV-ur,W EH  R EH  V ER
Whether,WHE-thur,W EH  DH ER
Which,which,W IH  CH
While,wile,W AY  L
Whisper,WIS-per,W IH  S P ER
White,wyt,W AY  T
Who,hoo,HH UW
Whole,hohl,HH OW  L
Whom,hoom,HH UW  M
Whose,hooz,HH UW  Z
Why,why,W AY
Wide,wyd,W AY  D
Widely,WID-lee,W AY  D L IY
Wife,wyf,W AY  F
Wild,wyle,W AY  L D
Wildlife,WILD-lyf,W AY  L D L AY  F
Will,wil,W IH  L
Willing,WIL-ing,W IH  L IH  NG
Win,win,W IH  N
Wind,wind,W AY  N D
Window,WIN-doh,W IH  N D OW
Wine,wīn,W AY  N
Wing,wing,W IH  NG
Winner,WIN-ur,W IH  N ER
Winter,WIN-tur,W IH  N T ER
Wire,WYE-er,W AY  ER
Wise,wize,W AY  Z
Wish,wish,W IH  SH
With,with,W IH  DH
Within,wih-THIN,W IH  DH IH  N
Without,wih-THOWT,W IH  TH AW  T
Witness,WIT-ness,W IH  T N AH  S
Woman,WUH-muhn,W UH  M AH  N
Wonder,WUN-der,W AH  N D ER
Wonderful,WUN-der-fuhl,W AH  N D ER  F AH  L
Wood,wood,W UH  D
Wooden,WOO-dn,W UH  D AH  N
Wool,wool,W UH  L
Word,wurd,W ER  D
Work,wurk,W ER  K
Worker,WURK-ur,W ER  K ER
Working,WUR-king,W ER  K IH  NG
World,wurld,W ER  L D
Worldwide,WURLD-wyd,W ER  L D W AY  D
Worried,WUR-eed,W ER  IY  D
Worry,WUR-ee,W ER  IY
Worse,wurss,W ER  S
Worst,wurst,W ER  S T
Worth,wurth,W ER  TH
Would,wud,W UH  D
Wound,wound,W AW  N D
Wow,wow,W AW
Wrap,rap,R AE  P
Write,riyt,R AY  T
Writer,RAI-tur,R AY  T ER
Writing,RAI-ting,R AY  T IH  NG
Written,RIT-tn,R IH  T AH  N
Wrong,rong,R AO  NG
Yard,yahrd,Y AA  R D
Yeah,yee-uh,Y AE
Year,yeer,Y IH  R
Yellow,YEL-oh,Y EH  L OW
Yes,yes,Y EH  S
Yesterday,YES-tur-day,Y EH  S T ER  D EY
Yet,yet,Y EH  T
You,yoo,Y UW
Young,yuhng,Y AH  NG
Your,yoor,Y AO  R
Yours,yoors,Y UH  R Z
Yourself,yoors-elf,Y ER  S EH  L F
Youth,yooth,Y UW  TH
Zero,ZEER-oh,Z IH  R OW
Zone,zohn,Z OW  N
Names,,N EY  M Z
Girls,,G ER  L Z
Olivia,oh-LIV-ee-uh,OW  L IH  V IY  AH
Emma,EM-uh,EH  M AH
Charlotte,SHAR-luht,SH AA  R L AH  T
Amelia,uh-MEE-lee-uh,AH  M IY  L Y AH
Sophia,so-FEE-uh,S OW  F IY  AH
Mia,MEE-uh,M IY  AH
Isabella,iz-uh-BEL-uh,IH  Z AH  B EH  L AH
Ava,AY-vuh,EY  V AH
Evelyn,EV-uh-lin,EH  V AH  L AH  N
Luna,LOO-nuh,L UW  N AH
Harper,HAR-pur,HH AA  R P ER
Sofia,so-FEE-uh,S OW  F IY  AH
Eleanor,EL-uh-nor,EH  L AH  N AO  R
Elizabeth,ih-LIZ-uh-beth,IH  L IH  Z AH  B AH  TH
Violet,VY-uh-let,V AY  AH  L IH  T
Scarlett,SCAR-luht,S K AA  R L IH  T
Emily,EM-uh-lee,EH  M IH  L IY
Hazel,HAY-zul,HH EY  Z AH  L
Lily,LIL-ee,L IH  L IY
Aurora,uh-ROHR-uh,ER  AO  R AH
Penelope,puh-NEL-uh-pee,P AH  N EH  L AH  P IY
Aria,AR-ee-uh,AA  R IY  AH
Nora,NOR-uh,N AO  R AH
Chloe,KLOH-ee,K L OW  IY
Ellie,EL-ee,EH  L IY
Avery,AY-vuh-ree,EY  V ER  IY
Abigail,AB-ih-gayl,AE  B AH  G EY  L
Ella,EL-uh,EH  L AH
Nova,NOH-vuh,N OW  V AH
Madison,MAD-ih-sun,M AE  D AH  S AH  N
Zoe,ZOH-ee,Z OW  IY
Ivy,EYE-vee,AY  V IY
Grace,GRAYS,G R EY  S
Lucy,LOO-see,L UW  S IY
Willow,WIL-oh,W IH  L OW
Emilia,eh-MEE-lee-uh,AH  M IY  L IY  AH
Riley,RY-lee,R AY  L IY
Naomi,nay-OH-mee,N EY  OW  M IY
Victoria,vik-TOR-ee-uh,V IH  K T AO  R IY  AH
Stella,STEL-uh,S T EH  L AH
Elena,eh-LAY-nuh,EH  L AH  N AH
Hannah,HAN-uh,HH AE  N AH
Valentina,val-en-TEE-nuh,V AE  L IH  N T IY  N AH
Maya,MY-uh,M AY  AH
Delilah,duh-LIE-luh,D AH  L AY  L AH
Leah,LEE-uh,L IY  AH
Lillian,LIL-ee-un,L IH  L IY  AH  N
Paisley,PAYZ-lee,P EY  Z L IY
Genesis,JEN-uh-sis,JH EH  N AH  S AH  S
Madelyn,MAD-uh-lin,M AE  D IH  L IH  N
Sadie,SAY-dee,S AE  D IY
Sophie,SOH-fee,S OW  F IY
Leilani,lay-LAH-nee,L AH  L AA  N IY
Addison,AD-ih-sun,AE  D AH  S AH  N
Natalie,NAT-uh-lee,N AE  T AH  L IY
Josephine,JOH-suh-feen,JH OW  S AH  F IY  N
Alice,AL-is,AE  L AH  S
Ruby,ROO-bee,R UW  B IY
Claire,KLAIR,K L EH  R
Kinsley,KINZ-lee,K IH  N Z L IY
Everly,EV-er-lee,EH  V ER  L IY
Emery,EM-uh-ree,EH  M ER  IY
Adeline,AD-uh-lin,AE  D AH  L AY  N
Kennedy,KEN-uh-dee,K EH  N AH  D IY
Audrey,AW-dree,AO  D R IY
Autumn,AW-tum,AO  T AH  M
Athena,uh-THEE-nuh,AH  TH IY  N AH
Eden,EE-dun,IY  D AH  N
Iris,EYE-ris,AY  R AH  S
Anna,AN-uh,AE  N AH
Eloise,EL-oh-eez,IH  L OY  Z
Jade,JAYD,JH EY  D
Maria,muh-REE-uh,M ER  IY  AH
Caroline,KARE-oh-line,K EH  R AH  L AY  N
Brooklyn,BROOK-lin,B R UH  K L AH  N
Quinn,KWIN,K W IH  N
Vivian,VIV-ee-un,V IH  V IY  AH  N
Liliana,LIL-ee-AH-nuh,L IH  L IY  AE  N AH
Gabriella,gab-ree-EL-uh,G AA  B R IY  EH  L AH
Hailey,HAY-lee,HH EY  L IY
Sarah,SAIR-uh,S EH  R AH
Savannah,suh-VAN-uh,S AH  V AE  N AH
Cora,KOR-uh,K AO  R AH
Madeline,MAD-uh-lin,M AE  D AH  L IH  N
Natalia,nuh-TAH-lee-uh,N AH  T AA  L Y AH
Ariana,AR-ee-AH-nuh,AA  R IY  AE  N AH
Lydia,LID-ee-uh,L IH  D IY  AH
Clara,KLAR-uh,K L AE  R AH
Allison,AL-ih-sun,AE  L AH  S AH  N
Aubrey,AW-bree,AO  B R IY
Millie,MIL-ee,M IH  L IY
Melody,MEL-uh-dee,M EH  L AH  D IY
Serenity,suh-REN-ih-tee,S ER  EH  N AH  T IY
Bella,BEL-uh,B EH  L AH
Josie,JOH-see,JH OW  Z IY
Lucia,loo-SEE-uh or LOO-sha (varies by region),L UW  SH AH
Daisy,DAY-zee,D EY  Z IY
Eva,EE-vuh or AY-vuh (varies by region),EY  V AH
Juniper,JOO-ni-pur,JH UW  N AH  P ER
Samantha,suh-MAN-thuh,S AH  M AE  N TH AH
Eliza,ee-LIE-zuh,IH  L AY  Z AH
Rylee,RY-lee,R IH  L IY
Hadley,HAD-lee,HH AE  D L IY
Parker,PAR-kur,P AA  R K ER
Julia,JOO-lee-uh,JH UW  L Y AH
Amara,uh-MAR-uh,AA  M AA  R AH
Rose,ROHZ,R OW  Z
Charlie,CHAR-lee,CH AA  R L IY
Ashley,ASH-lee,AE  SH L IY
Remi,REH-mee,R EH  M IY
Georgia,JOR-juh,JH AO  R JH AH
Melanie,MEL-uh-nee,M EH  L AH  N IY
Margaret,MAR-guh-ret,M AA  R G ER  IH  T
Piper,PIE-pur,P AY  P ER
Mary,MAIR-ee,M EH  R IY
Freya,FRAY-uh,F R EY  AH
Cecilia,suh-SEEL-yuh,S IH  S IY  L Y AH
Esther,ES-tur,EH  S T ER
Sienna,see-EN-uh,S IY  EH  N AH
Summer,SUM-ur,S AH  M ER
Peyton,PAY-tun,P EY  T AH  N
Sage,SAYJ,S EY  JH
Valerie,VAL-uh-ree,V AE  L ER  IY
Magnolia,mag-NOH-lee-uh,M AE  G N OW  L Y AH
Catalina,kat-uh-LEE-nuh,K AE  T AH  L IY  N AH
Margot,MAR-goh,M AA  R G OW
Alina,uh-LEE-nuh,AH  L IY  N AH
Sloane,SLOHN,S L OW  N
Brianna,bree-AN-uh,B R IY  AE  N AH
Oakley,OHK-lee,OW  K L IY
Valeria,vuh-LAIR-ee-uh,V AH  L IY  R IY  AH
Blakely,BLAYK-lee,B L EY  K L IY
Isabelle,IZ-uh-bel,IH  Z AH  B EH  L
Juliette,joo-lee-ET,JH UW  L IY  EH  T
Emerson,EM-er-sun,EH  M ER  S AH  N
Amaya,uh-MY-uh,AA  M AA  Y AH
Elsie,EL-see,EH  L S IY
Isabel,IZ-uh-bel,IH  Z AH  B EH  L
Mackenzie,muh-KEN-zee,M AH  K EH  N Z IY
Genevieve,JEN-uh-veev,JH EH  N AH  V IY  V
Anastasia,an-uh-STAY-zhuh or an-uh-STAH-zee-uh,AE  N AH  S T EY  ZH AH
Reagan,RAY-gun,R EY  G AH  N
Katherine,KATH-er-in,K AE  TH ER  IH  N
Ember,EM-bur,EH  M B ER
June,JOON,JH UW  N
Bailey,BAY-lee,B EY  L IY
Andrea,AN-dree-uh or ahn-DRAY-uh,AE  N D R IY  AH
Reese,REES,R IY  S
Gemma,JEM-uh,JH EH  M AH
Ada,AY-duh,EY  D AH
Callie,KAL-ee,K AO  L IY
Olive,AH-liv,AA  L AH  V
Rosalie,ROH-zuh-lee,R OW  Z AH  L IY
Alana,uh-LAH-nuh,AA  L AE  N AH
Ariella,ar-ee-EL-uh,AA  R IY  EH  L AH
Ruth,ROOTH,R UW  TH
Arianna,ar-ee-AH-nuh,AA  R IY  AE  N AH
Sara,SAIR-uh,S EH  R AH
Jasmine,JAZ-min,JH AE  Z M AH  N
Phoebe,FEE-bee,F IY  B IY
River,RIV-ur,R IH  V ER
Hallie,HAL-ee,HH AO  L IY
Wren,REN,R EH  N
Presley,PRESS-lee,P R EH  S L IY
Lilah,LIE-luh,L IH  L AH
Amy,AY-mee,EY  M IY
Norah,NOR-uh,N AO  R AH
Annie,AN-ee,AE  N IY
Zuri,ZOO-ree,Z UH  R IY
Alexandra,al-ig-ZAN-druh,AE  L EH  G Z AE  N D R AH
Sutton,SUT-un,S AH  T AH  N
Noelle,noh-EL,N OW  EH  L
Molly,MOL-ee,M AA  L IY
Lia,LEE-uh,L IY  AH
Evangeline,eh-VAN-juh-leen,IH  V AE  N JH IH  L AY  N
Lila,LIE-luh,L IY  L AH
Aspen,AS-pun,AE  S P AH  N
Saylor,SAY-lur,S EY  L ER
Haven,HAY-vun,HH EY  V AH  N
Blake,BLAYK,B L EY  K
Kimberly,KIM-bur-lee,K IH  M B ER  L IY
Vera,VAIR-uh,V EH  R AH
Ana,AH-nuh,AA  N AH
Tatum,TAY-tum,T EY  T AH  M
Arabella,ar-uh-BEL-uh,AE  R AH  B EH  L AH
Diana,dye-AN-uh,D AY  AE  N AH
Selena,suh-LEE-nuh,S AH  L IY  N AH
Harmony,HAR-muh-nee,HH AA  R M AH  N IY
Lilith,LIL-ith,L IH  L IH  TH
Rowan,ROH-un,R OW  AH  N
Delaney,duh-LAY-nee,D AH  L EY  N IY
Vivienne,VIV-ee-en,V IH  V IY  AH  N
Zara,ZAH-ruh,Z AE  R AH
Collins,KOL-ins,K AA  L IH  N Z
Harlow,HAR-loh,HH AA  R L OW
Blair,BLAIR,B L EH  R
